seed,file,title_presence,location_presence,price_presence,area_presence,bedrooms_presence,bathrooms_presence,all6_presence
42,realestate_html/rightmove-1405.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0321.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1091.html,100,100,100,0,100,100,0
42,realestate_html/propertyguru-0216.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0433.html,100,100,100,100,100,0,0
42,realestate_html/rightmove-0402.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1959.html,100,100,100,100,100,100,100
42,realestate_html/realtor-0135.html,100,100,100,100,100,100,100
42,realestate_html/realtor-0681.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1000.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0041.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-0406.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1696.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0002.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1793.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0744.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1057.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0067.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0554.html,0,100,100,100,100,100,0
42,realestate_html/propertyguru-0851.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0169.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1032.html,100,100,100,100,100,100,100
42,realestate_html/zillow-1013.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1021.html,100,100,100,100,100,100,100
42,realestate_html/realtor-0078.html,100,100,100,100,100,0,0
42,realestate_html/rightmove-1240.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1558.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1965.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0148.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1181.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0934.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1371.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1665.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-0256.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-0255.html,100,100,100,100,100,100,100
42,realestate_html/zillow-1091.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1278.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1529.html,100,100,100,100,100,100,100
42,realestate_html/zillow-1198.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1047.html,100,100,100,100,100,100,100
42,realestate_html/realtor-0488.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0970.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1699.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-0443.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0689.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0349.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0526.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-0380.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0171.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0693.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1240.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1038.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1078.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1152.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1426.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0216.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0248.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1733.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1929.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0427.html,100,100,100,100,100,100,100
42,realestate_html/zillow-1161.html,100,100,100,100,100,100,100
42,realestate_html/realtor-0384.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0140.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1957.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0029.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0701.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0533.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1230.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0839.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1161.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0253.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0739.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1914.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1717.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1617.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1435.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1810.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1839.html,100,100,100,100,100,100,100
42,realestate_html/zillow-1507.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0075.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1136.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-0467.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1765.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1183.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0371.html,100,100,100,0,100,100,0
42,realestate_html/propertyguru-0750.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1898.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1809.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0487.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0987.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1267.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1664.html,100,100,100,100,0,100,0
42,realestate_html/zillow-0945.html,100,100,100,100,100,100,100
42,realestate_html/zillow-1935.html,100,100,100,100,100,100,100
42,realestate_html/realtor-0108.html,100,100,100,100,100,100,100
42,realestate_html/zillow-0608.html,100,100,100,100,100,100,100
42,realestate_html/zillow-1978.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1157.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1568.html,100,100,100,100,100,100,100
42,realestate_html/propertyguru-1398.html,100,100,100,100,100,100,100
42,realestate_html/zillow-1568.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1249.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-0164.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1102.html,100,100,100,100,100,100,100
42,realestate_html/rightmove-1512.html,100,100,100,100,100,100,100
42,realestate_html/realtor-1637.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1683.html,100,100,100,100,100,0,0
42,realestate_html/zillow-0648.html,100,100,100,100,100,100,100
42,realestate_html/realestate-0174.html,100,100,100,100,100,0,0
42,realestate_html/zillow-1429.html,0,100,100,100,100,100,0
42,realestate_html/realestate-1596.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1447.html,100,100,100,100,0,100,0
42,realestate_html/realestate-0963.html,100,100,100,100,100,0,0
42,realestate_html/propertyguru-1943.html,100,100,100,100,100,100,100
42,realestate_html/realestate-1455.html,100,100,100,0,100,100,0
