seed,file,title_presence,subject_presence,fees_presence,duration_presence,instructor_presence,all5_presence
44,course_html/udemy-1726.html,100,100,100,100,100,100
44,course_html/skillshare-1156.html,100,100,100,100,100,100
44,course_html/coursera-1899.html,100,100,0,100,100,0
44,course_html/linkedin-0427.html,100,100,100,100,100,100
44,course_html/linkedin-1170.html,100,100,100,100,100,100
44,course_html/edx-2075.html,100,100,0,100,100,0
44,course_html/edx-0155.html,100,100,0,100,100,0
44,course_html/edx-0116.html,100,100,0,100,100,0
44,course_html/linkedin-0066.html,100,100,100,100,100,100
44,course_html/coursera-0269.html,100,100,100,100,100,100
44,course_html/edx-0042.html,100,100,0,100,0,0
44,course_html/udemy-1522.html,100,100,100,100,100,100
44,course_html/linkedin-1321.html,100,100,100,100,100,100
44,course_html/skillshare-1203.html,100,100,100,100,100,100
44,course_html/skillshare-1532.html,100,100,100,100,100,100
44,course_html/coursera-1733.html,100,100,100,100,100,100
44,course_html/linkedin-1639.html,100,100,100,100,100,100
44,course_html/skillshare-0055.html,100,100,100,100,100,100
44,course_html/edx-0744.html,100,100,0,100,100,0
44,course_html/linkedin-0617.html,100,100,100,100,100,100
44,course_html/coursera-1846.html,100,100,100,100,100,100
44,course_html/edx-1668.html,100,100,0,100,100,0
44,course_html/coursera-1648.html,100,100,100,100,100,100
44,course_html/edx-1199.html,100,100,0,100,100,0
44,course_html/linkedin-1245.html,100,100,100,100,100,100
44,course_html/udemy-0238.html,100,100,100,100,100,100
44,course_html/skillshare-0521.html,100,100,100,100,100,100
44,course_html/coursera-1293.html,100,100,100,100,100,100
44,course_html/edx-0219.html,100,100,0,100,100,0
44,course_html/edx-1446.html,100,100,0,100,100,0
44,course_html/linkedin-0199.html,100,100,100,100,100,100
44,course_html/udemy-0700.html,100,100,100,100,100,100
44,course_html/linkedin-0198.html,100,100,100,100,100,100
44,course_html/linkedin-1626.html,100,100,100,100,100,100
44,course_html/skillshare-0900.html,100,100,100,100,100,100
44,course_html/udemy-1184.html,100,100,100,100,100,100
44,course_html/coursera-0165.html,100,100,0,100,100,0
44,course_html/linkedin-1718.html,100,100,100,100,100,100
44,course_html/udemy-0793.html,100,0,100,100,100,0
44,course_html/skillshare-1274.html,100,100,100,100,100,100
44,course_html/linkedin-0192.html,100,100,100,100,100,100
44,course_html/linkedin-1789.html,100,100,100,100,100,100
44,course_html/skillshare-1557.html,100,100,100,100,100,100
44,course_html/linkedin-1267.html,100,100,100,100,100,100
44,course_html/skillshare-1983.html,100,100,100,100,100,100
44,course_html/udemy-0373.html,100,100,100,0,100,0
44,course_html/linkedin-0499.html,100,100,100,100,100,100
44,course_html/udemy-0026.html,100,100,100,100,100,100
44,course_html/edx-1013.html,100,100,0,100,100,0
44,course_html/edx-0793.html,100,100,0,100,100,0
44,course_html/edx-1608.html,100,100,0,100,100,0
44,course_html/edx-0225.html,100,100,0,100,100,0
44,course_html/coursera-0359.html,100,100,0,100,100,0
44,course_html/skillshare-0820.html,100,100,100,100,100,100
44,course_html/skillshare-0819.html,100,100,100,100,100,100
44,course_html/udemy-1442.html,100,100,100,100,100,100
44,course_html/linkedin-1017.html,100,100,100,100,100,100
44,course_html/coursera-0164.html,100,100,100,100,100,100
44,course_html/edx-1838.html,100,100,0,100,100,0
44,course_html/skillshare-1118.html,100,100,100,100,100,100
44,course_html/edx-0806.html,100,100,0,100,100,0
44,course_html/skillshare-1221.html,100,100,100,100,100,100
44,course_html/linkedin-0576.html,100,100,100,100,100,100
44,course_html/edx-0504.html,100,100,0,100,100,0
44,course_html/linkedin-0916.html,100,100,100,100,100,100
44,course_html/linkedin-1449.html,100,100,100,100,100,100
44,course_html/coursera-0662.html,100,100,100,100,100,100
44,course_html/udemy-0277.html,100,100,100,100,100,100
44,course_html/skillshare-0557.html,100,100,100,100,100,100
44,course_html/edx-0491.html,100,100,0,100,100,0
44,course_html/skillshare-1008.html,100,100,100,100,100,100
44,course_html/udemy-0439.html,100,0,100,100,100,0
44,course_html/udemy-1551.html,100,100,100,100,100,100
44,course_html/skillshare-0922.html,100,100,100,100,100,100
